Schema	Table	InsertDateField	UpdateDateField	ReferenceTable	ReferenceKey	ReferenceInsertDate	ReferenceUpdateDate	MasterORTransaction	PMC	FiscalYear
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2009-04-01' AND '2010-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2008-04-01' AND '2009-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2008-04-01' AND '2009-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2008-04-01' AND '2009-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2007-04-01' AND '2008-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2007-04-01' AND '2008-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2007-04-01' AND '2008-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2006-04-01' AND '2007-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2006-04-01' AND '2007-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2006-04-01' AND '2007-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2005-04-01' AND '2006-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2005-04-01' AND '2006-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2005-04-01' AND '2006-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2004-04-01' AND '2005-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2004-04-01' AND '2005-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2004-04-01' AND '2005-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
